Akarenso - Japan Spinach,8,,
Adzuki,,,
Amaranth  White Leaf Chinese Spinach,4,6,
Amaranth Red Garnet,2,6,12
Arugula,2,,
Basil - Dark Opal,6,8,14
Basil - Genovese,6,8,14
Beet Bulls Blood,,,
Beet Early Wonder,1,,
Broccoli,,,
Broccoli - Diccico,,,
Broccoli - Purple Sprouting,,,
Brussel Sprouts,,,
Cabbage - Red Acre,2,4,8
Cabbage - Golden Acre,,,
Cauliflower,,,
China Red Rose Radish,,,
Chives - Garlic,4,6,
Chn Parsley Split,7,10,10
Cilantro - Slow Bolg,,,
Daikon Sh,3,4,
Dill,7,7,7
Edamame,,,
Fenugreek,,,
Flax,,,
Gailan - Chinese Kale Broccoli,3,5,8
Dwarf Siberian Kal,4,10,4
Garden Cress,3,5,3
Garden Cress Curled,4,6,
Green Kale,,,
Kale Dinosaur,,,
Kohlrabi - Purple Vienna,,,
Mustard - Spicy Bronw,3,5,
Mustard Mix,,,
Mustard Red Giant,,,
Organic Cress,,,
Pak Choi Cabbage,,,
Parsley - Dk Gr Italian Flat Leaf,7,7,7
Radish - Red Stem,,,
Radish - White Stem,,,
Radish Mix - Sango Ws Rs,3,6,7
Radish Mix,,,
Red Arrow Radish,,,
Sango Radish,3,4,
Shungiku - Edible Chysanthemum,4,6,
Summer Savory,,,
Swiss Chard,,,
Thai Basil,6,8,
Triton Radish,,,
Wasabi,3,4,
Yellow Mustard,3,4,
Celery Chinese Kintsai,,,
Broccoli Kale Chinese Gailaan,,,